,winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential,winner
172,0.575407998,0.597984765,0,75.52380187,?,2,5,5,3,2,1,39,44,1
173,0.232676695,0.225951323,-1,61.90291583,1,1,4,3,2,2,1,65,73,1
174,0.7709365,0.757657665,-1,62.78787888,2,2,4,4,0,2,0,31,26,1
175,0.434778117,0.563868932,1,71.55353328,3,0,5,1,2,3,0,54,80,1
177,0.571571607,1.139494962,1,59.61533227,1,4,?,4,3,3,1,51,23,1
178,0.253712371,0.437006506,-1,57.97615077,2,1,4,?,1,4,0,73,84,1
179,0.274421273,0.54212135,0,49.17280878,3,2,2,4,2,3,0,31,31,1
180,0.87152693,0.495957785,0,58.98747335,4,1,2,1,4,3,1,94,51,1
181,0.516945422,0.439498728,-1,65.1385289,3,3,5,2,3,2,0,50,71,1
182,0.285553195,0.256057213,0,73.32914516,3,2,1,1,3,3,1,79,38,1
183,0.37674996,0.559095051,-1,76.40084523,2,1,2,5,0,3,1,58,58,1
185,0.558833934,0.451761095,0,?,2,2,2,4,3,1,?,65,85,1
186,0.432748096,0.618432973,?,74.72680274,-1,2,1,5,3,3,0,-7,33,1
187,0.389633629,0.31714411,-1,66.28425161,2,0,1,3,3,4,0,35,79,1
190,0.371949325,0.485719791,-1,77.61978585,2,2,1,1,4,2,1,?,46,1
192,0.35350424,0.561113851,1,60.41813131,1,1,?,3,2,3,1,29,?,1
196,0.387936625,0.40890086,0,48.54525827,1,0,3,4,0,4,?,55,51,1
197,0.467362289,0.447619864,1,55.8829047,2,1,2,5,3,3,0,?,36,1
199,0.528282169,0.664037025,-1,70.80263246,1,0,3,1,3,3,1,63,21,1
201,0.577518159,0.321663413,1,65.85050973,2,1,5,4,3,5,0,58,?,1
202,0.466745719,0.573109902,1,65.3984355,2,2,4,2,2,3,0,44,50,1
203,0.158499376,0.418930873,1,60.11228555,3,1,3,4,3,?,1,32,63,1
204,0.551158009,?,-1,68.63300093,1,2,1,3,2,3,1,58,33,1
205,0.524650239,0.226017184,-1,64.54655802,3,?,2,?,1,2,0,50,47,1
206,0.947967379,0.562873277,-1,61.28271573,1,2,4,1,3,3,1,84,31,1
207,0.568774662,0.786451135,1,61.68729045,2,1,2,3,3,2,1,?,38,1
208,0.571107271,0.635337322,0,68.78850292,2,2,4,3,2,1,1,?,56,1
210,0.704126345,0.2862415,1,50.45984473,2,1,1,4,4,2,0,79,14,1
211,0.634990823,0.496408622,0,60.30900666,4,1,2,1,2,1,0,12,61,1
213,0.719697524,0.420819108,0,59.23183621,2,2,4,1,2,2,0,57,36,1
214,0.321208235,0.738384454,-1,64.88121472,3,2,1,5,2,2,1,62,96,1
216,0.495459767,0.480098065,1,61.19647916,1,1,1,2,1,4,1,55,45,1
217,0.000262963,0.618191016,1,72.50529837,1,1,3,4,1,4,1,42,31,1
218,0.520915247,1.073085034,1,63.36840842,?,1,2,4,3,0,0,71,41,1
220,0.543314223,0.499582777,-1,61.11055126,1,0,3,1,3,1,1,74,50,1
221,0.67826018,0.475764842,0,?,2,2,4,1,4,1,1,47,71,1
223,0.263572378,0.170112074,-1,59.82938031,3,-1,2,3,1,2,1,38,42,1
224,0.198115776,0.415839398,-1,54.25425621,0,0,2,3,4,2,1,36,87,1
225,0.198171574,0.65089505,1,72.37552156,3,2,1,4,2,3,1,48,38,1
228,0.639103844,0.669199095,1,65.576332,1,2,1,2,2,2,0,43,7,1
230,0.078265759,0.606754248,-1,62.91782945,2,1,1,2,2,2,0,52,46,1
232,0.637149476,0.590554512,0,61.4961911,2,2,1,5,2,2,1,39,41,1
233,0.603900812,0.522993428,0,71.11560816,1,0,1,1,3,2,1,19,59,1
234,0.708842091,0.562247435,-1,62.67534979,1,1,1,5,3,2,1,31,18,1
235,0.461945053,0.837021413,-1,64.21086878,2,1,5,5,3,2,1,33,20,1
237,0.540251249,0.482567275,?,59.89023859,2,2,?,1,3,3,0,29,52,1
238,0.673281817,0.601684679,-1,62.25931123,2,?,1,3,2,2,1,39,47,1
240,0.572237331,0.757230222,0,68.03254884,1,1,4,2,2,4,1,47,52,1
241,0.521299567,0.272678215,-1,65.62730423,1,0,5,5,?,2,1,40,27,1
242,0.85832886,0.576821486,0,66.66422937,2,2,5,5,2,1,1,53,42,1
243,0.492293766,0.455534313,1,56.88971368,2,1,3,3,1,3,0,-5,54,1
244,0.865809462,0.725703104,0,58.42246112,2,2,5,4,4,3,0,57,49,1
248,0.135662887,0.305440482,1,70.49199509,1,-1,2,4,0,1,0,78,41,1
251,?,0.551528016,-1,72.84385028,2,2,1,4,3,3,0,40,42,1
253,0.646784052,0.730471235,1,72.79998161,2,1,?,5,4,4,1,60,35,1
255,0.668123525,0.749673822,1,78.92503534,2,1,2,3,1,1,1,56,35,1
259,0.238672911,0.616634514,-1,56.85383982,?,2,5,2,1,3,1,74,64,1
260,0.37520559,0.59803251,-1,68.62503902,2,2,3,1,3,2,1,63,72,1
261,0.670726217,0.71982103,0,61.68903273,?,0,5,1,3,3,?,40,31,1
262,0.211721111,0.683569114,1,54.47355175,2,1,4,4,2,4,?,64,25,1
264,0.610518457,0.696132101,0,74.7636189,?,0,?,5,2,1,0,18,30,1
265,0.567749456,0.649507471,0,68.61504178,2,2,2,1,1,1,1,53,54,1
270,0.587024988,0.303673531,0,70.54528153,1,?,1,5,2,2,1,50,-8,1
271,?,0.352888555,-1,63.37474863,3,3,3,3,1,3,1,93,46,1
272,0.723472924,0.444065785,-1,73.32210543,2,1,5,2,4,3,0,67,51,1
274,0.272986533,0.511915523,-1,79.61268793,2,2,4,2,3,2,1,36,73,1
276,0.428476007,0.815575086,0,58.7552402,0,0,1,4,4,3,0,71,75,1
277,1.008766837,0.901856623,-1,74.61688456,3,2,3,1,3,2,0,47,47,1
279,0.443060668,?,-1,69.09836519,4,2,1,3,2,3,0,27,29,1
280,0.391943051,0.781632667,-1,53.97211282,0,3,3,3,4,2,1,66,16,1
282,0.620890801,0.524489726,0,60.60409015,3,2,2,4,3,2,0,51,?,1
283,0.095098542,0.601851542,1,62.97603908,1,1,2,3,4,4,0,13,58,1
285,0.245145287,0.710242469,1,77.46552938,1,1,1,2,1,1,1,50,49,1
287,0.478054305,0.387738909,0,64.64395271,2,2,3,1,2,1,1,30,37,1
288,0.634710394,0.648839347,1,57.49779569,2,?,3,4,2,2,0,33,78,1
291,0.533343807,0.64396802,1,59.04226225,1,1,5,1,2,3,0,20,39,1
292,0.655961652,0.686270613,?,73.00543887,2,1,1,4,4,3,1,43,68,1
293,0.322737133,0.531674175,0,?,4,1,3,?,1,3,0,42,26,1
295,0.588066447,0.673993404,1,66.95507387,1,1,3,1,4,2,0,17,78,1
304,0.371838146,0.511600798,1,73.07728343,2,1,3,3,3,2,1,31,60,1
307,0.12621905,0.761594123,-1,67.38907586,3,0,4,3,3,2,?,88,8,1
308,0.399051396,0.399638694,-1,69.92601764,2,0,4,1,3,2,1,38,38,1
309,?,0.386195954,0,61.48890583,2,1,5,3,4,2,0,37,61,1
312,0.394724091,0.290041915,-1,77.6394016,1,1,2,2,3,2,0,67,54,1
313,0.420046544,0.42504226,-1,71.49813272,1,1,1,2,1,?,0,29,63,1
314,0.535607732,0.333470089,-1,63.53939137,1,1,4,5,4,1,0,49,90,1
316,0.54615142,0.620030873,?,62.32962063,2,1,4,4,4,3,?,63,24,1
317,0.476218701,0.414825057,0,71.89048564,3,0,4,4,2,2,0,60,70,1
320,0.615868966,0.371938226,-1,80.68683857,3,3,5,3,3,2,?,68,62,1
322,0.748522538,0.403300432,-1,64.90366239,2,-1,4,3,?,2,1,56,45,1
323,?,0.331433517,-1,70.0195526,2,0,3,3,3,2,1,37,62,1
324,0.525209187,0.745469569,0,64.61997034,1,1,5,4,3,2,1,73,19,1
327,0.745391544,0.65314761,1,54.08869753,2,0,4,2,2,2,0,49,31,1
329,0.639586639,0.75508225,1,66.03644152,4,2,1,2,3,4,1,89,-6,1
330,0.35449662,0.656740583,-1,65.14105148,1,3,3,3,3,0,1,45,28,1
331,?,0.514446608,0,53.89696499,3,3,5,1,3,3,1,79,44,1
332,0.538918162,0.397062257,-1,63.55910792,3,1,2,3,2,3,1,27,?,1
333,0.231583799,0.305026207,0,61.82153272,1,1,4,3,3,2,0,39,48,1
334,0.634192442,0.855230767,0,66.37860884,1,2,1,4,3,2,1,?,13,1
335,0.662867794,0.765208734,1,63.4805284,2,1,1,?,1,3,0,60,19,1
341,0.489078336,0.763683747,-1,61.78032661,4,1,4,5,4,2,0,64,68,1
342,0.49692474,0.354680623,-1,67.35120202,2,0,5,4,3,3,1,25,28,1
343,0.767944933,0.514159872,-1,62.97572956,2,2,3,4,2,1,1,28,52,1
344,0.772496213,0.684338657,1,74.16615819,2,1,4,1,2,2,0,19,46,1
348,0.499991526,0.562785333,0,49.12091883,2,1,1,2,1,1,1,82,56,1
350,0.579549044,0.481688587,0,66.61745962,3,1,1,1,2,?,1,67,43,1
352,0.275807202,0.534206721,0,66.64995096,3,2,1,4,4,3,0,90,39,1
353,0.138170783,0.643920383,0,66.4185644,?,1,5,1,1,1,0,65,49,1
356,?,0.471323965,1,59.16524488,1,1,4,5,3,1,0,83,55,1
357,0.375039151,0.368917079,0,60.55636061,3,2,1,4,?,3,0,66,42,1
358,0.431724738,0.339238984,-1,66.37948275,3,2,1,5,1,1,1,71,59,1
359,0.256069037,0.581703999,-1,?,1,0,3,4,2,2,?,8,56,1
360,0.525479248,0.682867892,-1,70.32234756,1,1,2,3,2,2,0,40,56,1
361,0.35022891,0.455498412,0,?,1,1,2,2,3,3,1,43,17,1
362,?,0.159369389,1,?,1,3,1,4,?,3,0,113,23,1
364,?,0.421084657,0,57.68606359,?,2,5,1,4,2,1,30,75,1
365,0.230797214,0.633502657,1,60.43549821,1,2,2,1,5,2,1,88,19,1
366,0.647700403,0.646459351,-1,65.21806049,1,1,2,5,4,4,1,22,44,1
368,0.357585555,0.447903087,1,53.80601398,2,3,1,1,3,2,1,59,35,1
370,0.525806417,?,-1,52.89468607,1,1,2,5,2,3,1,34,55,1
371,0.820771423,0.918289112,1,51.1594016,2,1,3,4,2,2,0,81,47,1
372,0.668706607,0.503746437,?,62.66670959,2,1,4,1,3,2,0,51,64,1
374,0.39154466,0.695203837,1,53.22290983,2,2,2,1,3,2,1,65,44,1
375,0.500363015,0.659016242,0,72.228453,1,1,4,3,1,3,1,44,45,1
376,-0.000826523,0.479932381,-1,65.5717558,1,0,4,2,3,2,1,24,61,1
377,0.484408037,0.380644927,?,63.47806086,1,0,2,?,3,2,0,85,65,1
379,0.26626323,0.386125842,-1,57.91678859,2,1,4,3,3,3,0,71,42,1
380,?,0.548827813,1,60.51077387,2,2,3,3,1,4,0,94,77,1
381,0.561188324,?,-1,53.21064864,?,2,5,1,4,3,1,74,61,1
382,0.649204925,0.597018325,0,73.59728319,2,1,1,2,3,2,1,20,28,1
384,0.474259587,0.281532929,?,60.59396257,3,2,?,3,2,?,0,53,20,1
386,0.589982453,0.441985389,-1,53.19482822,3,0,5,5,2,2,1,74,74,1
388,0.717049759,0.513368161,-1,?,?,1,4,4,2,3,1,49,71,1
390,0.564783529,0.473107389,-1,62.704435,2,1,3,3,4,4,1,70,39,1
391,0.78959448,0.740677741,0,65.03739413,0,0,2,1,4,1,1,28,77,1
393,0.433788345,0.591597621,0,72.36941521,2,?,1,5,?,2,0,59,-3,1
397,0.891214782,0.675086118,1,61.56045745,2,2,1,1,3,?,0,49,78,1
399,0.121565376,0.273583911,-1,63.27764706,?,2,4,2,?,2,0,33,73,1
401,0.650678546,0.810531142,-1,68.30868865,1,2,5,5,4,2,0,95,38,1
402,0.6325249,0.275587792,0,72.4189636,2,2,4,4,2,4,1,56,39,1
407,0.575447559,?,-1,67.45318253,3,1,1,5,3,2,1,66,45,1
408,0.646901874,0.802431383,0,60.32125247,3,1,4,1,3,4,1,12,57,1
413,0.015911283,0.299062264,0,66.10691272,2,1,2,1,3,2,0,72,26,1
417,0.124786271,0.598326469,0,75.94088831,2,1,1,2,3,1,1,69,74,1
419,0.385562511,0.130825738,0,52.48364847,1,2,3,1,?,2,?,59,7,1
421,0.132534421,0.664956143,-1,62.16507542,3,1,?,4,3,2,0,39,57,1
422,0.644127102,0.464844818,0,69.44032995,3,2,4,5,4,4,0,69,15,1
423,0.508244413,0.70862519,1,?,?,1,4,2,2,3,1,54,34,1
424,0.523975882,0.484383467,1,58.37293739,2,0,?,2,2,0,?,3,42,1
428,0.892207696,0.581740635,-1,64.3098432,1,1,3,3,2,1,0,51,36,1
433,0.927672947,0.377210991,1,59.15052877,1,1,3,4,1,3,1,98,18,1
435,?,0.3391787,0,53.17005766,1,1,5,1,3,3,0,39,60,1
437,0.560537297,0.593151059,1,66.55670758,3,3,4,3,2,2,0,37,76,1
438,?,0.405479705,0,71.27748849,1,1,3,1,1,2,1,28,41,1
439,0.540434578,0.6874016,-1,77.51498928,2,0,5,1,2,?,0,38,29,1
444,0.213697679,0.231143581,0,62.86626407,2,2,3,2,1,3,?,75,27,1
445,0.159234037,0.680475796,0,65.72417892,2,1,4,2,-1,3,1,49,36,1
446,0.335997108,0.636513834,0,55.54624149,1,2,2,4,1,5,1,75,31,1
447,0.624021184,0.490545039,0,63.30874058,2,2,3,1,3,?,0,59,34,1
448,0.616291431,0.867584872,1,73.1158065,4,2,4,2,?,2,1,37,84,1
449,0.716464757,0.382761423,1,63.60429768,2,1,2,2,2,1,1,93,?,1
450,0.555273033,0.549853013,-1,73.57116092,4,1,4,2,3,2,1,45,81,1
451,0.753742259,0.929307736,-1,69.93643063,2,2,5,5,4,4,0,57,64,1
452,0.123158915,0.463806911,0,65.45609834,2,0,3,4,2,2,0,61,52,1
455,0.598226658,0.720817975,1,69.2558547,3,1,3,5,?,2,0,61,50,1
456,0.355999663,0.339571496,-1,78.67872906,1,0,5,2,2,0,0,66,81,1
457,0.741495118,0.513936685,0,53.84295221,3,1,5,1,2,?,0,39,59,1
458,0.507177694,0.581281594,1,71.40401887,2,1,1,4,2,2,1,?,61,1
459,0.430762038,0.406366308,1,56.13491619,1,0,3,2,3,?,0,49,57,1
460,0.255608158,0.540015745,-1,65.5945938,1,0,5,?,3,3,0,47,26,1
461,0.650667007,0.645658727,0,69.26940704,3,1,5,3,?,?,1,47,58,1
463,0.108752087,0.086020639,-1,63.92442486,1,1,4,4,?,1,0,?,-9,1
464,0.533836249,0.297930245,0,54.50351292,2,?,4,3,1,4,0,57,?,1
466,0.777399225,0.488200872,-1,57.57213063,2,0,1,1,4,2,1,35,39,1
469,0.705320343,0.472235309,1,69.25195361,3,0,4,1,3,1,1,30,80,1
472,0.399250675,0.258270807,1,69.06891059,3,1,3,3,4,2,1,78,39,1
473,0.373899138,0.407948063,0,65.84494014,4,1,1,5,1,3,1,19,50,1
475,0.347885717,0.485391721,1,57.05287936,3,2,2,3,3,4,1,67,79,1
476,0.18941761,0.607473912,0,59.2669496,2,0,1,?,3,2,1,61,50,1
485,0.22433491,0.353932445,-1,75.65014848,1,1,4,1,1,3,0,88,?,1
486,0.382762723,-0.123341147,-1,74.33799136,2,0,3,4,3,4,1,62,48,1
489,0.405492691,0.555917846,-1,63.24718056,1,1,5,2,5,1,0,55,70,1
490,0.723663921,0.715184166,0,?,2,1,2,3,2,2,0,64,46,1
494,0.526068495,-0.157133727,1,71.65690726,1,3,1,1,2,1,0,29,32,1
496,0.699679147,0.383845935,0,65.21865839,2,1,4,1,2,1,1,48,47,1
497,0.445966322,0.58126663,?,62.70242781,1,0,1,2,3,3,0,49,46,1
500,0.569057442,?,?,70.44233189,?,1,4,4,3,2,0,64,17,1
501,0.646500532,0.412224246,-1,67.64788837,0,0,5,3,5,4,1,51,34,1
502,0.19564506,0.329016446,1,62.41098515,2,2,2,4,2,2,1,77,70,1
504,0.446917075,0.288939489,-1,72.68653056,2,1,1,3,3,3,0,66,74,1
505,0.429812056,0.824250859,1,63.00742322,3,-1,2,3,3,3,1,70,46,1
506,0.494913882,0.404677651,1,60.7257031,2,2,3,3,2,2,1,45,30,1
507,0.510444082,0.616920733,0,60.75494078,0,0,2,2,3,2,1,90,74,1
508,0.587468719,0.491018724,1,67.80688949,2,1,?,1,4,2,0,60,54,1
509,0.392330176,0.501369728,?,?,3,3,5,5,2,?,0,35,79,1
510,0.301153448,0.503447836,0,55.14153743,2,1,5,4,4,2,0,34,?,1
511,0.455974933,0.512043204,1,77.62617704,1,1,1,3,1,3,0,83,35,1
513,0.255653694,0.204135276,?,73.03657151,2,1,2,3,4,3,0,33,53,1
515,0.891854075,0.774564687,-1,73.46423843,1,1,5,3,3,2,0,64,40,1
521,0.476829424,0.572181389,-1,75.89052486,?,1,1,2,2,3,0,72,44,1
522,0.303779487,0.515364183,-1,74.03469505,2,1,4,1,2,0,1,29,39,1
523,0.524041527,0.344131092,?,70.92684672,2,0,4,4,3,4,0,58,22,1
526,0.165171632,0.623604213,0,63.82001763,1,1,4,1,3,3,1,79,63,1
527,0.421698548,0.196625284,-1,64.60280261,2,1,2,5,1,1,1,58,61,1
528,0.230672069,0.442677424,0,59.59325517,3,?,2,?,4,2,0,43,29,1
530,0.591134944,0.509635053,-1,72.07892875,2,2,1,1,3,?,1,67,43,1
532,0.256046779,0.304144282,1,75.7501185,3,1,4,2,2,2,1,49,27,1
533,0.733345142,0.498546375,0,65.67398713,1,0,1,4,3,2,1,63,36,1
536,0.446425286,0.545747191,-1,70.58714153,1,2,?,4,?,3,1,81,40,1
537,0.635048291,0.567170637,0,58.4015016,2,1,2,4,3,2,0,36,59,1
541,0.434116206,0.32044247,-1,66.35375429,1,2,3,?,2,2,1,-9,31,1
542,0.711465207,0.505214799,0,70.92772835,3,1,2,2,2,4,1,47,46,1
543,0.558363619,0.338857576,1,64.34762312,3,3,5,5,3,3,0,31,28,1
544,0.629555497,0.570302909,1,64.95681275,2,0,5,4,3,3,1,34,60,1
551,0.308750083,0.57183136,1,?,2,0,5,1,3,3,1,41,59,1
553,0.56745513,0.491373629,1,65.52423565,2,?,3,3,2,2,0,31,59,1
555,0.480981308,0.430632554,1,70.32998466,1,-1,3,2,4,4,1,37,57,1
557,0.452056127,0.562478085,1,69.68712514,1,0,3,4,2,2,0,75,65,1
558,0.476473638,0.545918994,1,62.71409847,3,2,1,?,1,1,0,46,14,1
560,0.709166799,0.543740021,-1,75.19482746,1,0,3,1,3,2,1,35,56,1
563,0.432873908,0.957604196,0,66.25369436,4,3,1,1,2,2,1,45,49,1
565,0.886709343,0.520561721,1,72.18145255,1,0,4,4,2,3,0,67,?,1
566,0.441953939,0.460788784,-1,65.56633479,4,1,5,4,2,2,0,43,?,1
